Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
84,0.201,-18.4896,0.513,-18.4897,1.000,-18.4897,1601.84,1.25,989.54,260.18,1000.00,2000.00,1000.00,6.69,-25.49,181.12,-0.11,-0.89,0.44,-0.87,0.31,0.39,0.48,0.34,0.81,1.4126271
85,0.210,-18.3792,0.513,-18.3792,1.000,-18.3793,1600.65,1.36,989.10,263.19,1000.00,2000.00,1000.00,7.03,-25.95,180.95,-0.10,-0.89,0.44,-0.87,0.30,0.39,0.48,0.35,0.80,1.4210600
86,0.450,-18.2709,0.512,-18.2708,1.000,-18.2708,1599.46,1.49,988.66,266.20,1000.00,2000.00,1000.00,7.36,-26.41,180.77,-0.09,-0.89,0.45,-0.87,0.29,0.40,0.48,0.35,0.80,1.4184062
87,0.763,-18.1520,0.511,-18.1520,0.388,-18.1519,1598.29,1.62,988.21,269.21,1000.00,2000.00,1000.00,7.71,-26.87,180.60,-0.08,-0.89,0.45,-0.87,0.28,0.40,0.48,0.36,0.80,1.4315258
88,0.671,-18.0530,0.509,-18.0532,1.000,-18.0530,1597.12,1.75,987.76,272.22,1000.00,2000.00,1000.00,8.05,-27.32,180.42,-0.07,-0.89,0.45,-0.88,0.27,0.40,0.48,0.37,0.80,1.4038063
89,0.643,-17.9368,0.507,-17.9362,0.472,-17.9364,1595.96,1.89,987.30,275.23,1000.00,2000.00,1000.00,8.39,-27.77,180.25,-0.06,-0.89,0.45,-0.88,0.26,0.40,0.48,0.37,0.80,1.4287918
90,0.639,-17.8289,0.504,-17.8289,0.356,-17.8287,1594.81,2.04,986.83,278.23,1000.00,2000.00,1000.00,8.74,-28.21,180.07,-0.05,-0.89,0.45,-0.88,0.25,0.40,0.47,0.38,0.79,1.4172156
91,0.563,-17.7325,0.502,-17.7328,1.000,-17.7324,1593.66,2.19,986.35,281.22,1000.00,2000.00,1000.00,9.09,-28.65,179.90,-0.03,-0.89,0.46,-0.88,0.24,0.41,0.47,0.39,0.79,1.3994472
92,0.486,-17.6306,0.497,-17.6313,1.000,-17.6305,1592.52,2.34,985.86,284.22,1000.00,2000.00,1000.00,9.44,-29.09,179.73,-0.02,-0.89,0.46,-0.88,0.24,0.41,0.47,0.40,0.79,1.4087176
93,0.491,-17.5171,0.494,-17.5177,0.414,-17.5171,1591.39,2.51,985.37,287.21,1000.00,2000.00,1000.00,9.78,-29.52,179.56,-0.01,-0.89,0.46,-0.88,0.23,0.41,0.47,0.41,0.79,1.4248729
94,0.492,-17.4137,0.486,-17.4139,0.380,-17.4139,1590.27,2.68,984.87,290.20,1000.00,2000.00,1000.00,10.13,-29.95,179.40,-0.00,-0.88,0.47,-0.89,0.22,0.41,0.46,0.41,0.78,1.4106029
95,0.491,-17.3098,0.485,-17.3105,0.397,-17.3098,1589.15,2.85,984.37,293.19,1000.00,2000.00,1000.00,10.48,-30.37,179.23,0.01,-0.88,0.47,-0.89,0.21,0.41,0.46,0.42,0.78,1.4120800
96,0.494,-17.2175,0.474,-17.2196,1.000,-17.2188,1588.04,3.03,983.85,296.17,1000.00,2000.00,1000.00,10.82,-30.79,179.07,0.02,-0.88,0.48,-0.89,0.20,0.41,0.46,0.43,0.78,1.3897791
97,0.494,-17.1075,0.474,-17.1088,0.536,-17.1088,1586.94,3.22,983.33,299.16,1000.00,2000.00,1000.00,11.16,-31.20,178.92,0.03,-0.88,0.48,-0.89,0.20,0.41,0.45,0.44,0.78,1.4204051
98,0.492,-17.0184,0.459,-17.0194,1.000,-17.0184,1585.84,3.41,982.81,302.14,1000.00,2000.00,1000.00,11.50,-31.61,178.77,0.04,-0.87,0.49,-0.89,0.19,0.41,0.45,0.45,0.77,1.3883437
99,0.492,-16.9082,0.461,-16.9094,0.601,-16.9089,1584.75,3.61,982.27,305.11,1000.00,2000.00,1000.00,11.84,-32.01,178.62,0.05,-0.87,0.49,-0.90,0.18,0.41,0.44,0.46,0.77,1.4197446
100,0.493,-16.8196,0.446,-16.8198,1.000,-16.8198,1583.67,3.81,981.73,308.09,1000.00,2000.00,1000.00,12.16,-32.41,178.49,0.06,-0.87,0.50,-0.90,0.17,0.40,0.44,0.47,0.77,1.3859005
101,0.497,-16.7230,0.446,-16.7229,1.000,-16.7230,1582.59,4.02,981.19,311.06,1000.00,2000.00,1000.00,12.47,-32.80,178.37,0.07,-0.86,0.50,-0.90,0.17,0.40,0.43,0.48,0.76,1.4002948
