Iteration,Aileron,AileronLoss,Elevator,ElevatorLoss,Rudder,RudderLoss,DistanceToTarget,PlanePositionX,PlanePositionY,PlanePositionZ,TargetPositionX,TargetPositionY,TargetPositionZ,PlaneVelocityX,PlaneVelocityY,PlaneVelocityZ,PlaneForwardX,PlaneForwardY,PlaneForwardZ,PlaneUpX,PlaneUpY,PlaneUpZ,PlaneRightX,PlaneRightY,PlaneRightZ,LossAngleChange
76,0.511,-31.5852,0.557,-31.5979,0.223,-31.5976,1600.75,2.81,1010.77,232.25,1000.00,2000.00,1000.00,7.54,24.25,174.62,0.68,0.32,0.66,0.04,0.88,-0.47,0.73,-0.34,-0.59,-0.6437501
77,0.506,-31.6099,0.551,-31.6099,0.268,-31.6095,1599.02,2.94,1011.19,235.16,1000.00,2000.00,1000.00,7.71,24.70,174.33,0.68,0.32,0.66,0.04,0.88,-0.47,0.73,-0.35,-0.59,-0.6182367
78,0.477,-31.6194,0.314,-31.6220,0.213,-31.6217,1597.30,3.07,1011.60,238.06,1000.00,2000.00,1000.00,7.88,25.16,174.04,0.68,0.32,0.66,0.04,0.88,-0.47,0.73,-0.35,-0.59,-0.6342382
79,0.417,-31.6274,0.000,-31.6344,0.285,-31.6340,1595.57,3.20,1012.03,240.95,1000.00,2000.00,1000.00,8.05,25.60,173.75,0.68,0.32,0.66,0.04,0.88,-0.47,0.73,-0.35,-0.59,-0.6339411
80,0.478,-31.6451,0.353,-31.6449,0.415,-31.6450,1593.84,3.34,1012.47,243.84,1000.00,2000.00,1000.00,8.23,26.04,173.46,0.68,0.32,0.66,0.04,0.88,-0.48,0.73,-0.35,-0.58,-0.5845544
81,0.381,-31.6567,0.178,-31.6560,0.392,-31.6556,1592.11,3.48,1012.91,246.73,1000.00,2000.00,1000.00,8.40,26.47,173.18,0.68,0.32,0.66,0.04,0.88,-0.48,0.73,-0.36,-0.58,-0.5664334
82,0.510,-31.6667,0.546,-31.6673,0.390,-31.6670,1590.38,3.62,1013.35,249.61,1000.00,2000.00,1000.00,8.57,26.91,172.90,0.68,0.33,0.66,0.05,0.88,-0.48,0.73,-0.36,-0.58,-0.6003835
83,0.510,-31.6815,0.536,-31.6815,0.332,-31.6805,1588.65,3.77,1013.81,252.49,1000.00,2000.00,1000.00,8.75,27.37,172.59,0.68,0.33,0.66,0.05,0.87,-0.48,0.73,-0.36,-0.58,-0.6810929
84,0.420,-31.6865,0.000,-31.6948,0.455,-31.6944,1586.92,3.92,1014.27,255.36,1000.00,2000.00,1000.00,8.92,27.79,172.31,0.68,0.33,0.66,0.05,0.87,-0.49,0.73,-0.36,-0.58,-0.6950234
85,0.518,-31.7073,0.392,-31.7072,0.473,-31.7073,1585.19,4.07,1014.74,258.23,1000.00,2000.00,1000.00,9.10,28.24,172.01,0.68,0.33,0.66,0.05,0.87,-0.49,0.73,-0.36,-0.57,-0.6565118
